X_coordinate,Y_coordinate,state,code,name,zone,address
75.4516454,27.2520587,Rajasthan,BDHL,Badhal,NWR,"Kishangarh Renwal, Rajasthan"
,,,XX-BECE,XX-BECE,,
,,,XX-BSPY,XX-BSPY,,
,,,YY-BPLC,YY-BPLC,,
79.519746,28.913427,Uttar Pradesh,KHH,KICHHA,NER,"Kichha, Uttar Pradesh"
74.4349908828735,29.5551980606448,Rajasthan,SRKN,Sherekan,NWR,"MDR 89, Rajasthan"
74.7510309610516,29.2382273125037,Rajasthan,BKKA,Bhukarka,NWR,"Bhukarka, Rajasthan"
74.7736278176308,29.192562738769,Rajasthan,NHR,Nohar,NWR,"State Highway 36, Rajasthan"
80.231363,12.975217,Tamil Nadu,PRGD,Perungudi,SR,"Chennai, Tamil Nadu"
74.7179570607841,29.3456372632059,Haryana,KNNA,Khinaniyan,NWR,"State Highway 23, Haryana"
78.216684,21.838466,,JKR,JAULKHERA,,
78.031361,21.909813,,BYS,BARSALI,,
78.936311,23.838186,,GW,GIRWAR,,
79.019912,23.871771,,DGD,DANGIDHAR,,
75.103546,23.770741,Madhya Pradesh,DOD,DHODHAR,WR,"Dhodar, Madhya Pradesh"
79.074633,23.895862,,GAJ,GANESHGANJ,,
88.415324,22.168635,West Bengal,JNM,Jayanagar Majilpur Halt,ER,"Jaynagar, West Bengal"
74.716991,26.29446,Rajasthan,NSD,NASIRABAD,NWR,"Nasirabad, Rajasthan"
79.192899,23.905726,,PHA,PATHARIA,,
78.103238,18.679165,Andhra Pradesh,NZB,NIZAMABAD,SCR,"Nizamabad, Andhra Pradesh"
86.010546,25.387447,,RJO,RAJENDRA PUL,,
79.478668,11.009165,Tamil Nadu,ADT,ADUTURAI,SR,"Aduthurai, Tamil Nadu"
79.388644,10.952962,Tamil Nadu,KMU,KUMBAKONAM,SR,"Kumbakonam, Tamil Nadu"
78.45351,9.681539,Tamil Nadu,MNM,MANAMADURAI JN,SR,"Sivaganga, Tamil Nadu"
83.381499,26.759311,,GKP,GORAKHPUR JN,,
,,,BJUP,BJUP,,
73.169283,22.184274,,VRM,VARNAMA,,
83.416821,26.750649,,GKC,GORAKHPUR CANT,,
73.156746,22.149889,,ITA,ITOLA,,
,,,CIKA,CIKA,,
,,,XX-CPHO,XX-CPHO,,
77.273006,29.09692,Uttar Pradesh,BTU,BARAUT,NR,"Baraut, Uttar Pradesh"
75.168467,30.817296,Punjab,MOGA,Moga,NR,"Moga, Punjab"
70.503394,23.309819,,SIOB,SAMAKHIALI JN,,
,,,LLHW,LLHW,,
75.087121,27.713786,Rajasthan,RDK,Rasheedpura Khori,NWR,"MDR 87, Rajasthan"
80.612645,16.414205,,PVD,PEDDAVADIAPUDI,,
82.85262,17.553652,,YLM,ELLAMANCHILI,,
77.655113,10.476971,,CHPT,Chatrappatti,,
81.540406,27.120389,,JLD,JARWAL ROAD,,
83.923653,21.822718,,BRJN,BRAJRAJNAGAR,,
81.694178,27.137698,,CLJ,COLONELGANJ,,
81.8556626477,27.1465555756,,KTHL,KATHOLA,,
82.903373,26.776435,,MND,MUNDERWA,,
74.4806877,19.7807923,Maharashtra,SNSI,SAINAGAR SHIRDI,CR,"Near New Bus Stand Shirdi Sainagar, Maharashtra"
71.738273,21.822549,Gujarat,DLJ,DHOLA JN,WR,"Dhola, Gujarat"
75.7655019775,31.2175557498,,PGW,PHAGWARA JN,,
,,,YY-BINP,YY-BINP,,
75.521553,28.777449,Rajasthan,JUP,Jhunpa,?,"NH 65, Rajasthan"
,,,XX-JSGB,XX-JSGB,,
84.017427,21.862274,,JSG,JHARSUGUDA JN,,
84.207153512,26.2311244405,,KYW,KARCHHUE,,
84.509909,26.000739,,MHRN,MAHENDRANATH,,
84.688889,25.807401,,TKVR,TAPPA KHAJURIAY,,
78.42225009,12.18134581,,DPI,DODDAMPATTI,,
,,,SREE,SREE,,
71.892665,26.950232,Rajasthan,AQG,ASHAPURA GOMAT,NWR,"National Highway 15, Rajasthan"
78.096697,11.612765,,NEA,NEYKKARAPATTI,,
85.318477,25.931049,,GRL,GORAUL,,
,,,DKJC,DKJC,,
85.339288,25.979631,,KHI,KURHANI,,
77.265802,11.117791,,VNJ,TIRUPPUR VANJIPALAYAM,,
76.954304,11.019937,,CBF,COIMBATORE NORTH,,
76.826966,30.338918,,UMB,AMBALA CANT JN,,
81.31786,25.650642,,SRO,SIRATHU,,
81.401934,25.605607,,SJT,SHUJAATPUR,,
81.442017,25.585017,,BDNP,BIDANPUR,,
77.0482995163,24.6093382288,Rajasthan,MTPC,MOTIPURA CHAUKI,WCR,"Motipura, Rajasthan"
85.987826,25.367027,,HTZ,HATHIDAH JN,,
